#TYPE Selected.System.Management.ManagementObject
"ProcessName","CommandLine"
"System Idle Process",
"System",
"smss.exe","\SystemRoot\System32\smss.exe"
"csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
"wininit.exe","wininit.exe"
"csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
"winlogon.exe","winlogon.exe"
"services.exe","C:\Windows\system32\services.exe"
"lsass.exe","C:\Windows\system32\lsass.exe"
"lsm.exe","C:\Windows\system32\lsm.exe"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch"
"svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork"
"spoolsv.exe","C:\Windows\System32\spoolsv.exe"
"svchost.exe","C:\Windows\System32\svchost.exe -k utcsvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k regsvc"
"VGAuthService.exe","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
"vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
"svchost.exe","C:\Windows\System32\svchost.exe -k termsvcs"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{1B4D68D1-64CB-4AE8-944C-BC84C0C0CC05}"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"msdtc.exe","C:\Windows\System32\msdtc.exe"
"VSSVC.exe","C:\Windows\system32\vssvc.exe"
"taskhost.exe","""taskhost.exe"""
"dwm.exe","""C:\Windows\system32\Dwm.exe"""
"explorer.exe","C:\Windows\Explorer.EXE"
"vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr"
"Oobe.exe","""C:\Windows\system32\oobe.exe"" "
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"sppsvc.exe","C:\Windows\system32\sppsvc.exe"
"WmiApSrv.exe","C:\Windows\system32\wbem\WmiApSrv.exe"
"TrustedInstaller.exe","C:\Windows\servicing\TrustedInstaller.exe"
"mscorsvw.exe","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe"
"mscorsvw.exe","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe"
"powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ""-file"" ""C:\Users\Administrator\Desktop\JakeScript.ps1"" ""-Command"" ""if((Get-ExecutionPolicy ) -ne AllSigned) { Set-ExecutionPolicy -Scope Process Bypass }"""
"conhost.exe","\??\C:\Windows\system32\conhost.exe ""-197517607613317430941361047805692401900-81939265437158216652163185927920142"
