#TYPE Selected.System.Management.ManagementObject
"ProcessName","CommandLine"
"System Idle Process",
"System",
"Registry",
"smss.exe",
"csrss.exe",
"wininit.exe",
"csrss.exe",
"winlogon.exe","winlogon.exe"
"services.exe",
"lsass.exe","C:\Windows\system32\lsass.exe"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s PlugPlay"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"fontdrvhost.exe","""fontdrvhost.exe"""
"fontdrvhost.exe","""fontdrvhost.exe"""
"svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM"
"svchost.exe","C:\Windows\System32\svchost.exe -k termsvcs -s TermService"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s nsi"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s SessionEnv"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k localService -p -s RemoteRegistry"
"svchost.exe","C:\Windows\System32\svchost.exe -k smbsvcs -s LanmanServer"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -s W32Time"
"vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt"
"VGAuthService.exe","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
"MsMpEng.exe",
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s WinRM"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm"
"CompatTelRunner.exe","C:\Windows\system32\compattelrunner.exe"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{145A41ED-F119-4639-B6CC-FF52909DB698}"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
"msdtc.exe","C:\Windows\System32\msdtc.exe"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"VSSVC.exe","C:\Windows\system32\vssvc.exe"
"pacjsworker.exe","C:\Windows\system32\pacjsworker.exe a6534743-cb6e-420b-98d1-c91b7b28af0b d2cadf1f-0a6b-4d83-8a7d-353a3bdc4ce9"
"NisSrv.exe",
"taskhostw.exe","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}"
"powershell.exe","PowerShell.exe -noExit"
"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s BITS"
"WmiApSrv.exe","C:\Windows\system32\wbem\WmiApSrv.exe"
