#TYPE Selected.System.Management.ManagementObject
"ProcessName","CommandLine"
"System Idle Process",
"System",
"Registry",
"smss.exe",
"csrss.exe",
"wininit.exe",
"csrss.exe",
"winlogon.exe","winlogon.exe"
"services.exe",
"lsass.exe","C:\Windows\system32\lsass.exe"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s PlugPlay"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"fontdrvhost.exe","""fontdrvhost.exe"""
"fontdrvhost.exe","""fontdrvhost.exe"""
"svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM"
"dwm.exe","""dwm.exe"""
"svchost.exe","C:\Windows\System32\svchost.exe -k termsvcs -s TermService"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s nsi"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -s WPDBusEnum"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s SessionEnv"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT"
"spoolsv.exe","C:\Windows\System32\spoolsv.exe"
"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt"
"svchost.exe","C:\Windows\system32\svchost.exe -k localService -p -s RemoteRegistry"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain"
"svchost.exe","C:\Windows\System32\svchost.exe -k smbsvcs -s LanmanServer"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks"
"VGAuthService.exe","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
"vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -s W32Time"
"MsMpEng.exe",
"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s WinRM"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService"
"svchost.exe","C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc"
"pacjsworker.exe","C:\Windows\system32\pacjsworker.exe 7e4bfc2b-81cb-4e04-9306-8edf9f07adf4 937d0725-49d5-4d8c-a21c-2fc44f200834"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{65453CED-9F9F-4862-B2A6-A342B7B48A70}"
"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"msdtc.exe","C:\Windows\System32\msdtc.exe"
"VSSVC.exe","C:\Windows\system32\vssvc.exe"
"NisSrv.exe",
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s BITS"
"WmiApSrv.exe","C:\Windows\system32\wbem\WmiApSrv.exe"
"sihost.exe","sihost.exe"
"svchost.exe","C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService"
"taskhostw.exe","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}"
"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService"
"ctfmon.exe","""ctfmon.exe"""
"svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository"
"explorer.exe","C:\Windows\Explorer.EXE"
"svchost.exe",
"svchost.exe","C:\Windows\System32\svchost.exe -k AppReadiness -p -s AppReadiness"
"svchost.exe",
"smartscreen.exe","C:\Windows\System32\smartscreen.exe -Embedding"
"svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc"
"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker"
"ShellExperienceHost.exe","""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
"ServerManager.exe","""C:\Windows\system32\ServerManager.exe"" "
"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"SearchUI.exe","""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca"
"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"backgroundTaskHost.exe","""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca"
"vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s NetSetupSvc"
"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
"TrustedInstaller.exe","C:\Windows\servicing\TrustedInstaller.exe"
"TiWorker.exe","C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.793_none_7defe5934d1eb33a\TiWorker.exe -Embedding"
"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s fdPHost"
"powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ""-Command"" ""if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\Users\Administrator\Desktop\JakeScript.ps1'"""
"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
